Code	Lat	Long	Tax
AAA	-17.3507	-145.511	
AAB	-26.6968	141.0491	
AAC	31.07428	33.82917	
AAD	6.096286	46.63771	
AAE	36.82139	7.811857	
AAF	29.73024	-85.0296	
AAG	-24.1038	-49.7895	
AAH	50.75	6.133333	
AAI	-12.9167	-46.9333	
AAJ	3.898745	-55.578	
AAK	0.166667	173.5833	
AAL	57.08644	9.868076	
AAM	-24.8	31.53333	
AAN	24.26023	55.61663	
AAO	9.429874	-64.4709	
AAP	-0.37361	117.2556	
AAQ	45.00265	37.34498	
AAR	56.30454	10.61285	
AAS	-3.88085	139.3107	
AAT	47.74834	88.08948	
AAU	-13.4583	-172.6	
AAV	6.367687	124.7527	
AAW	34.2	73.25	
AAX	-19.5631	-46.9604	
AAY	16.18797	52.17272	
AAZ	14.86116	-91.5068	
ABA	53.71667	91.5	
ABB	6.205655	6.663855	
ABC	38.94833	-1.86333	
ABD	30.36685	48.22844	
ABE	40.65116	-75.4423	
ABF	1.670833	173.3042	
ABG	-17.6667	143.2	
ABH	-23.65	146.6333	
ABI	32.40774	-99.6794	
ABJ	5.264928	-3.92596	
ABK	6.733889	44.26611	
ABL	67.10583	-157.854	
ABM	-10.9426	142.4503	
ABN	5.5	-54.0833	
ABO	5.433333	-3.21667	
ABP	-6.0647	141.0952	
ABQ	35.03767	-106.611	
ABR	45.4525	-98.4261	
ABS	22.37223	31.61303	
ABT	20.29614	41.63428	
ABU	-9.13333	124.8833	
ABV	9.006681	7.265007	
ABW	-10.1833	148.7	
ABX	-36.0689	146.9519	
ABY	31.53397	-84.1925	
ABZ	57.20195	-2.20199	
ACA	16.75659	-99.7529	
ACB	44.98833	-85.1972	
ACC	5.604289	-0.16797	
ACD	8.516667	-77.3	
ACE	28.94568	-13.6076	
ACF	40.46417	81.24694	
ACH	47.48596	9.55986	
ACI	49.70694	-2.2145	
ACJ	8.35	80.38333	
ACK	41.25635	-70.0642	
ACL	4.747051	-72.9919	
ACM	-2	-71.8333	
ACN	29.3	-100.917	
ACO	9.693365	-85.0912	
ACP	37.34779	46.1241	
ACR	-0.38333	-72.3	
ACS	56.27012	90.57983	
ACT	31.60913	-97.2232	
ACU	9.576389	-79.7244	
ACV	40.97636	-124.108	
ACX	25.08397	104.9588	
ACY	39.45709	-74.5703	
ACZ	31.09702	61.54237	
ADA	36.98503	35.29736	
ADB	38.28959	27.15882	
ADC	-7.1371	145.7453	
ADD	8.979581	38.79728	
ADE	12.82612	45.03754	
ADF	37.75	38.26667	
ADG	41.9	-84.0333	
ADH	58.60349	125.4045	
ADI	-22.4	15	
ADJ	31.97342	35.99461	
ADK	51.88278	-176.645	
ADL	-34.9472	138.5331	
ADM	34.3028	-97.0192	
ADN	5.666667	-75.9333	
ADO	-31.0167	137.15	
ADP	7.338525	81.62522	
ADQ	57.75528	-152.513	
ADR	33.45	-79.5667	
ADS	32.78333	-97.3	
ADT	34.8049	-96.6676	
ADU	38.32368	48.41728	
ADV	11.40431	26.11865	
ADW	38.80575	-76.8774	
ADX	56.3756	-2.85963	
ADY	-22.6777	29.0534	
ADZ	12.58605	-81.7022	
AEA	0.490833	173.829	
AEB	23.72021	106.961	
AED	58.03333	-152.9	
AEE	10.05244	32.96201	
AEG	1.39996	99.42983	
AEH	13.84657	20.84965	
AEI	36.1289	-5.4413	
AEK	-7.36667	146.2833	
AEL	43.68009	-93.3674	
AEM	45.84146	137.6736	
AEO	16.71069	-9.63822	
AEP	-34.5562	-58.4167	
AEQ	43.90798	120.1493	
AER	43.44397	39.94009	
AES	62.56019	6.113416	
AET	66.55193	-152.621	
AEU	25.87599	55.03427	
AEX	31.32927	-92.541	
AEY	65.65699	-18.0706	
AFA	-34.5892	-68.4006	
AFD	-33.5833	26.88333	
AFF	38.83333	-104.7	
AFI	6.895316	-75.0468	
AFK	7.34217	81.62931	
AFL	-9.86616	-56.106	
AFN	42.83333	-72.0667	
AFO	42.73333	-110.933	
AFR	-9.13834	148.391	
AFS	41.61552	64.23177	
AFT	-9.2	160.85	
AFW	32.993	-97.3184	
AFY	38.73333	30.6	
AFZ	36.17168	57.59942	
AGA	30.37833	-9.5559	
AGB	48.42528	10.93167	
AGC	40.35345	-79.929	
AGD	-1.38333	133.8667	
AGE	53.78333	7.916667	
AGF	44.17361	0.598611	
AGG	-4.16861	144.0739	
AGH	56.29723	12.85285	
AGI	5.833333	-56.8333	
AGJ	26.593	127.2399	
AGK	-6.40333	143.8467	
AGL	-9.33738	149.1561	
AGM	65.6	-37.6833	
AGN	57.50389	-134.583	
AGO	33.26667	-93.2333	
AGP	36.67876	-4.49998	
AGQ	38.6137	21.39298	
AGR	27.15833	77.96278	
AGS	33.3723	-81.9651	
AGT	-25.5	-54.8333	
AGU	21.70142	-102.314	
AGV	9.552222	-69.2333	
AGW	-12.1454	142.1491	
AGX	10.82897	72.17987	
AGZ	-29.05	18.85	
AHA	26.2	127.65	
AHB	18.23429	42.65757	
AHC	40.15	-120.133	
AHD	34.16667	-97.1333	
AHE	-14.4281	-146.257	
AHF	40.3	-99.9	
AHG	-10.3717	56.60313	
AHH	45.3	-92.35	
AHI	-3.34785	128.9275	
AHJ	32.53678	102.3502	
AHL	2.475567	-59.3194	
AHM	42.1903	-122.661	
AHN	33.94871	-83.3297	
AHO	40.63088	8.288375	
AHS	15.4819	-84.4161	
AHU	35.17972	-3.83694	
AHW	31.34292	48.74668	
AHY	-20.0153	45.53759	
AHZ	45.08709	6.082793	
AIA	42.05167	-102.807	
AIC	7.5	170.8333	
AID	40.16667	-85.6833	
AIE	-5.16667	144.6667	
AIF	-22.6667	-50.4167	
AIG	6.521706	23.26059	
AIH	-7.34369	141.2679	
AII	11.15	42.71667	
AIK	33.56667	-81.7167	
AIL	9.25	-78.0833	
AIM	10.2165	169.9826	
AIN	70.6379	-160.015	
AIO	41.4	-95.0167	
AIP	7.266667	168.8167	
AIR	-10.25	-59.3833	
AIS	-2.65	176.8333	
AIT	-18.8364	-159.761	
AIU	-20.0333	-158.1	
AIV	33.13333	-88.15	
AIW	-27.9948	17.59645	
AIY	39.38591	-74.4255	
